TIMESTAMP(ms),Heading_true(rad),Heading_est(rad),dR(m)
4008532,1.1752,1.16993,22
4009532,1.14688,1.14602,22
4010532,1.10958,1.11663,22
4011532,1.07008,1.07583,23
4012532,1.03274,1.03594,23
4013533,1.0034,1.0006,24.024
4014533,0.990038,0.974021,24
4015533,0.975503,0.960025,24
4016533,0.963565,0.947423,24
4017533,0.956171,0.934302,23
4018533,0.960832,0.929819,23
4019533,0.96096,0.935215,23
4020533,0.958339,0.93424,22
4021533,0.96006,0.931051,22
4022533,0.972977,0.935963,21
4023533,0.970041,0.945919,21
4024533,0.980998,0.945183,20
4025533,1.01154,0.966394,20
4026533,1.03051,0.988804,21
4027533,1.053,1.00784,21
4028533,1.08484,1.03342,22
4029533,1.11479,1.06528,22
4030533,1.1477,1.09458,22
4031533,1.1778,1.12807,23
4032533,1.20468,1.15883,23
4033533,1.22771,1.18171,24
4034533,1.2491,1.20602,25
4035533,1.26281,1.22802,25
4036533,1.26382,1.23609,24
4037533,1.25352,1.23525,24
4038533,1.25995,1.22586,23
4039533,1.26969,1.23829,23
4040533,1.26672,1.24414,23
4041533,1.2662,1.23939,22
4042533,1.2661,1.24181,22
4043533,1.26554,1.24103,22
4044533,1.26482,1.23853,22
4045533,1.26886,1.23943,23
4046533,1.28756,1.249,23
4047533,1.31164,1.26542,24
4048533,1.34108,1.29267,24
4049533,1.36323,1.32216,24
4050533,1.38473,1.33801,25
4051533,1.40373,1.36262,25
4052533,1.42104,1.38001,26
4053533,1.43789,1.39829,26
4054533,1.45291,1.41574,26
4055533,1.46733,1.43197,26
4056533,1.47422,1.44431,27
4057533,1.47695,1.44938,27
4058533,1.47667,1.45312,27
4059533,1.47933,1.45122,27
4060533,1.48138,1.45408,27
4061533,1.48241,1.45783,27
4062533,1.47714,1.45629,27
4063533,1.47903,1.45261,27
4064533,1.47952,1.45528,27
4065533,1.47851,1.45512,27
4066533,1.48381,1.45466,27
4067533,1.48672,1.46067,27
4068533,1.48582,1.46229,27
4069533,1.49294,1.46267,27
4070533,1.51287,1.47162,27
4071533,1.52474,1.49161,27
4072533,1.53337,1.50194,26
4073533,1.55179,1.51161,26
4074533,1.56968,1.53284,26
4075533,1.58453,1.54883,26
4076533,1.59656,1.56376,26
4077533,1.60622,1.57432,26
4078533,1.62087,1.58652,26
4079533,1.64307,1.60022,25
4080533,1.67612,1.62789,25
4081533,1.70413,1.65834,26
4082533,1.72134,1.68468,26
4083533,1.73533,1.70037,26
4084533,1.7509,1.71383,26
4085533,1.77295,1.73192,26
4086533,1.79502,1.75324,26
4087533,1.81831,1.77681,26
4088533,1.84811,1.80031,26
4089533,1.86634,1.82979,25
4090533,1.88891,1.84609,25
4091533,1.92347,1.87341,25
4092533,1.9531,1.90988,26
4093533,1.97364,1.93553,26
4094533,1.98506,1.95239,26
4095533,2.00038,1.96812,27
4096533,2.02536,1.97997,27
4097533,2.03405,2.00364,28
4098533,2.03971,2.01545,28
4099533,2.03302,2.0187,28
4100533,2.03895,2.01541,28
4101534,2.03782,2.0169,28.028
4102534,2.03459,2.01478,28
4103534,2.03687,2.01617,27
4104534,2.03495,2.01788,26
4105534,2.02766,2.00985,26
4106534,2.00209,2.0023,25
4107534,1.96926,1.97536,24
4108534,1.94095,1.94383,24
4109534,1.9078,1.91774,23
4110534,1.88611,1.88538,22
4111534,1.86244,1.86751,22
4112534,1.83501,1.84265,21
4113534,1.79715,1.81044,21
4114534,1.76442,1.77905,21
4115534,1.73668,1.74714,21
4116534,1.68323,1.70983,21
4117534,1.63785,1.6556,21
4118534,1.59917,1.61294,22
4119534,1.57612,1.57893,22
4120534,1.55642,1.55568,23
4121534,1.54995,1.53783,23
4122534,1.53581,1.52839,23
4123534,1.54788,1.5222,23
4124534,1.55082,1.53103,24
4125534,1.54064,1.532,24
4126534,1.54237,1.52574,24
4127534,1.5408,1.52626,24
4128534,1.53569,1.52272,24
4129534,1.53427,1.51922,24
4130534,1.53889,1.51773,24
4131534,1.54084,1.52226,24
4132534,1.54358,1.52507,24
4133534,1.54283,1.52623,24
4134534,1.54417,1.52693,24
